Id,pop
454,68.27
455,71.15
456,52.95
457,61.33
458,53.54
459,65.72
460,55.53
461,39.65
462,66.13
463,60.84
464,61.86
465,66.94
466,61.35
467,67.15
468,66.16
469,65.14
470,60.33
471,66.08
472,67.1
473,65.84
474,51.84
475,57.76
476,59.9
477,45.52
478,50.82
479,68.57
480,60.51
481,56.3
482,48.3
483,71.12
484,67.05
485,52.93
486,69.25
487,70.14
488,66.3
489,72.08
490,63.5
491,56.31
492,63.5
493,68.79
494,67.93
495,60.57
496,67.36
497,44.09
498,63.85
499,60.77
500,64.09
501,59.31
502,59.8
503,63.54
504,44.29
505,66.46
506,60.5
507,50.8
508,63.3
509,61.49
510,65.97
511,53.47
512,66.85
513,43.11
514,62.47
515,65.98
516,66.42
517,67.52
518,68.58
519,67.15
520,66.78
521,58.01
522,64.13
523,58.46
524,67.87
525,60.68
526,57.11
527,65.37
528,58.73
529,67.62
530,70.34
531,65.3
532,60.69
533,54.07
534,68.5
535,61.0
536,48.51
537,69.23
538,51.52
539,58.97
540,65.69
541,69.54
542,42.78
543,71.98
544,40.94
545,64.82
546,69.2
547,65.58
548,64.05
549,69.8
550,62.2
551,55.63
552,66.87
553,51.43
554,56.15
555,60.98
556,69.88
557,54.65
558,45.52
559,67.24
560,68.93
561,64.36
562,60.23
563,65.03
564,61.64
565,61.35
566,65.85
567,64.31
